weight,flatwing,tarsus,head,culmen,nalospi,wingchord,Location,Sex
57,58.5,21,32.5,13.8,9.9,19.8,Transition,male
57,58,21.4,31.7,13.4,8.9,19.8,Dune,male
57,58.5,22.4,32.9,13.4,11,19.5,Marsh,female
57,58,21.2,31.7,13.2,10,19.9,Transition,male
57,58,20.9,32.4,13.7,10.1,20,Transition,male
57,58,21,31,13,9.5,20,Dune,male
57,58.5,21,31.9,13.8,9.4,20,Dune,male
57,58,21.4,32.2,12.7,9.2,20,Dune,male
57,58,21.7,33.5,14.2,10.2,19.5,Dune,female
57,58,21.4,32.1,12.9,9.4,20.1,Transition,male
57,58,21.8,32.2,12.9,10,20.1,Transition,male
57,58,22.1,32.6,13.2,9.6,20.1,Transition,male
57,58,22.1,31.3,13.8,9.9,20.1,Dune,male
57,58,21.9,31.7,12.5,9.7,20.2,Transition,male
57,57.5,21.9,31.8,13.1,10,20.2,Transition,male
57,58,20.7,31.2,12.5,8.9,20.2,Dune,male
57,58,21.8,31.4,12.6,9.3,20.2,Dune,male
57,58,20.5,31.7,11.8,9.8,20.2,Dune,male
57,58,20.2,31.9,13.2,9.2,20.2,Dune,male
57,58,21.7,32.4,13.3,9.6,20.2,Dune,male
57,58,21.7,32,13.2,9.9,20.4,Transition,male
57,58.5,21.2,31.5,12.1,9.6,20.5,Transition,male
57,57.5,21.8,32.2,12.7,9.8,20.5,Transition,male
57,58,22.4,32.6,13.3,9.9,20.5,Transition,male
57,58,22.3,31.2,13.5,9.5,20.5,Dune,male
57,58,21.2,31.3,12.1,9.8,20.5,Dune,male
57,58,21.4,31.9,12.8,9.5,20.5,Dune,male
57,58,21.9,32,12.4,9.3,20.5,Dune,male
57,58,21.4,32,13.6,9.1,20.5,Dune,male
57,58.5,21.8,32.1,13.4,9.9,20.5,Dune,male
57,58,21.8,32.3,13.1,9.5,20.5,Dune,male
57,58,21.4,32.4,13,9.5,20.7,Marsh,male
57,58,21.6,32.6,13.8,9.8,20.7,Transition,male
57,58,21.5,30.8,13.1,9.5,20.7,Dune,male
57,58,22.1,32.1,12.7,9.5,20.7,Dune,male
56,57,21.1,30.8,12.8,9.9,19.5,Dune,female
54.5,55.5,20,30.8,13.4,8.5,19.5,Dune,female
56,56.5,20.4,30.8,13.4,9.3,19.5,Dune,female
56,57,20.5,31,13.7,9.4,19.5,Dune,female
55,56,20.6,31.2,13.7,9.7,19.5,Dune,female
55,56,20.5,31.4,12.8,9.1,19.5,Dune,female
57,59,21,30.9,11.9,8.8,20.8,Dune,male
57,58,21.8,32.6,12.8,10,21,Transition,male
57,58,21.1,31.7,13.3,10,21,Dune,male
57,59,21.9,31.8,13,9.9,21,Dune,male
57,58.5,22.4,33.9,13.7,11.7,21,Dune,male
57,58,21.2,31.1,12.9,9.9,21.1,Transition,male
57,58,20.8,32.1,13.5,9.8,21.2,Transition,male
57,57.5,21.8,31.8,12.5,9.4,21.2,Dune,male
57,58,21.8,31.8,13.7,10.2,21.5,Transition,male
57,58,21.9,32.6,13.1,9.2,21.5,Dune,male
57,58,21.5,31.9,13.5,10,21.7,Marsh,male
57,58,21.5,32.1,13.3,9.4,21.7,Transition,male
57,59,21.4,32.1,12.7,9.5,21.8,Dune,male
57,58,22,33,13.7,9.6,23,Transition,male
57.5,58.5,20.8,31.7,12.2,9.5,17.5,Dune,male
57.5,59,21.5,31.5,12.3,9.2,19,Dune,male
57.5,58,21.9,32.1,13.1,9.3,19.3,Marsh,male
57.5,59.5,20.4,31.1,12.2,10.3,19.5,Dune,male
57.5,59,21,31.1,12.4,9.5,19.5,Dune,male
57.5,58,21.9,31.4,12.6,9.4,19.5,Dune,male
55,56,21.7,31.4,12.6,9.6,19.6,Dune,female
55.5,56.5,21.5,31.9,12.5,9.2,19.6,Dune,female
57.5,59,21.4,31.8,12.1,9,19.5,Dune,male
57.5,58.5,22.2,32.1,13.4,9.3,19.5,Dune,male
57.5,59,21.2,32.1,13.2,9.3,19.6,Transition,male
57.5,58.5,20.8,31.5,13.4,9.1,19.6,Dune,male
57.5,58.5,21.5,31.3,12.3,9.9,19.7,Transition,male
57.5,58.5,21.5,31.7,13.5,9.5,19.7,Transition,male
57.5,58.5,20.7,31.9,13.1,9.6,19.7,Transition,male
57.5,59,21,32,13.1,10.1,19.7,Transition,male
57.5,58.5,21.8,31.6,12.8,9.3,19.9,Dune,male
57.5,58.5,22.1,32.2,13.2,9.3,19.9,Dune,male
57.5,58.5,21.5,31.8,13.3,9.5,20,Transition,male
57.5,58.5,21.8,31.9,13,10.1,20,Transition,male
57,58,21.1,31.1,12.5,9.6,19.7,Transition,female
54.5,55.5,20.9,31.8,13.2,9.3,19.7,Transition,female
59,61.5,23.3,34,14.4,11.1,19.7,Transition,female
57.5,58,21.6,30.9,12.4,9.4,20,Dune,male
57.5,59,21.7,32.2,13,9.7,20.1,Dune,male
57.5,58,21.6,31.1,12.2,8.8,20.5,Dune,male
57.5,58.5,21.7,32.1,12.6,9.2,20.6,Transition,male
57.5,59,21.6,33.1,14,10.2,20.7,Transition,male
57.5,58,21.4,32.5,13.6,9.3,20.8,Dune,male
57.5,58.5,21.4,32.1,13.2,10.4,20.9,Marsh,male
57.5,58,22.1,31,13.8,9.1,21,Marsh,male
57.5,58.5,20.4,32.1,12.6,9.7,21,Dune,male
57,58,20.7,31.6,13.2,9.5,19.7,Dune,female
55,56,20.8,31.7,12.9,9.5,19.7,Dune,female
59,60,22.8,33.5,13.5,10,19.8,Marsh,female
57.5,59,21.6,32.3,13.3,9.3,21,Dune,male
59.5,60.5,23.1,33.2,13.4,10,19.8,Transition,female
57.5,58.5,20.8,32.5,13.4,9.6,21.5,Transition,male
57.5,58.8,22.1,31.9,13,9.4,21.5,Dune,male
57.5,58,21.2,32.1,13.1,9.5,21.5,Dune,male
57.5,59,21.4,32.6,13,9.7,21.5,Dune,male
58,58.5,20.3,31.8,12.6,10.1,18.2,Transition,male
58,59,20.8,31.6,13.4,9.1,18.5,Transition,male
58,59,20.5,31.8,12.8,10.2,18.6,Transition,male
58,59,21.5,32.9,13.4,10.3,18.6,Dune,male
58,59,20.5,31.8,12.7,9.5,18.7,Transition,male
58,60,21.2,31.6,13.2,9.6,18.8,Transition,male
58,59.5,21.6,32.2,14.1,9.2,18.8,Dune,male
58,59,21,31.4,12.5,9.3,19,Transition,male
58,60,21.8,30.8,12.3,8.5,19,Dune,male
58,59,20.7,31.7,12,8.8,19,Dune,male
58,59,20.5,31.5,12.7,9.3,19.1,Transition,male
58,60,20.8,32.3,13.4,9.7,19.1,Transition,male
58,59,21.3,32.3,12.3,9.6,19.1,Dune,male
58,59,20.5,31.7,12.5,9.6,19.2,Transition,male
58,58.5,21.6,31.5,12.6,9.3,19.2,Dune,male
58,59,21.2,31.7,13.2,9.1,19.2,Dune,male
58,60,20.8,31.8,13.1,9.1,19.2,Dune,male
58,59,20.4,32,13.2,9.2,19.3,Dune,male
58,60,21.4,32.1,13.8,9.6,19.4,Transition,male
60,61,21.8,31.9,14.6,10.4,19.9,Marsh,female
58,59,21,31.9,12.4,10,19.4,Dune,male
58,58.5,20.3,32.1,12.8,10.2,19.5,Transition,male
58,59,21.6,31.3,13.1,9.2,19.5,Dune,male
58,59,21.2,32.3,11.4,9.4,19.5,Dune,male
58,58.5,22.2,32.6,14.1,10.4,19.5,Dune,male
58,59.5,20.4,30.7,12.1,9.8,19.6,Transition,male
58,59.5,20.8,31.5,11.9,9.2,19.6,Transition,male
58,60,21.4,32.5,12.8,9.6,19.6,Transition,male
58,59,21.2,31.6,13,8.9,19.6,Dune,male
58,59,21.3,32.2,13.4,9.3,19.6,Dune,male
58,59,21.5,32.5,12.9,10,19.6,Dune,male
58,60,21.3,31.3,12.6,9.6,19.7,Transition,male
58,59,20.1,31.7,12.9,10,19.7,Transition,male
58,59,21.5,31.4,12.7,9.7,19.7,Dune,male
58,59,20.6,31.9,12.9,10.1,19.8,Transition,male
58,58.5,21.5,32.6,13.6,9.4,19.8,Transition,male
58,59,21.6,31.2,13.2,9.3,19.8,Dune,male
58,59,21.6,31.4,12.4,9.4,19.8,Dune,male
58,59,21.4,31.5,12.7,9.2,19.8,Dune,male
58,59,21.6,31.5,12.9,9,19.8,Dune,male
56,57,20.4,31.2,11.7,9.1,19.9,Dune,female
56,57,21.3,31.8,13,8.9,19.9,Dune,female
59,60,21.9,31.5,12.6,8.9,20,Marsh,female
58,59,20.9,31.7,12.9,8.6,19.8,Dune,male
58,59,21.4,31.9,12.4,9.5,19.8,Dune,male
58,59,21.8,32.5,13.4,9.8,19.9,Transition,male
56,57,21.3,31.6,13.6,9.5,20,Marsh,female
58,59,21.8,32.5,13.4,9.8,19.9,Transition,male
58,58.5,21.3,31.5,13.8,9.5,20,Marsh,male
58,59.5,20.8,31.8,13.2,10.2,20,Transition,male
58,59,21.3,32.1,12.8,9.5,20,Transition,male
58,58.5,22.8,32,12.5,9.1,20,Dune,male
58,58.5,21.3,32.2,13.6,9.5,20,Dune,male
58,59,21.6,32.3,12.6,9.3,20,Dune,male
58,59,20.5,31.3,12.7,9.3,20.1,Transition,male
58,59,21.3,31.5,13.1,9.6,20.1,Transition,male
58,59,21.6,32.6,12.5,10.1,20.1,Transition,male
58,59,20.9,30.9,12.2,9.1,20.1,Dune,male
58,59.5,21.2,31.8,13.4,9.2,20.2,Transition,male
58,59,20.9,32,13.2,9.3,20.2,Transition,male
58,59.5,20.9,32.5,13.5,9.8,20.2,Transition,male
58,60,21,31.2,13.6,9,20.2,Dune,male
55,57,20.8,30.8,12.9,9.1,20,Dune,female
58,58.5,21.8,32,13.3,9.9,20.2,Dune,male
58,58.5,20.3,32,13.4,9.3,20.2,Dune,male
58,59,20.9,32.2,13.1,9.3,20.2,Dune,male
58,59,21.4,32.3,12.6,8.9,20.2,Dune,male
58,59.5,21.7,32.7,13.9,10.2,20.3,Marsh,male
58,59,21.9,31.6,13.7,8.9,20.3,Dune,male
58,58.5,22.4,31.8,12.4,9.3,20.3,Dune,male
58,59,20.9,31.8,12.5,8.8,20.3,Dune,male
58,59.5,21.3,32.2,12.6,9.5,20.3,Dune,male
58,60,22.6,32.2,13.1,9.5,20.3,Dune,male
58,59,20.6,31.7,12.8,9.2,20.4,Transition,male
58,59,22.1,31.2,12.2,9,20.4,Dune,male
58,59,21.2,31.2,12.5,9.5,20.4,Dune,male
58,59,20.9,31.7,12.7,8.9,20.4,Dune,male
58,60,21,32.1,12.7,9.3,20.4,Dune,male
58,58.5,21.3,32.6,13.7,9.6,20.5,Marsh,male
58,59,21.1,31.6,13.1,10.1,20.5,Transition,male
58,59,21.6,31.8,13.1,9.2,20.5,Transition,male
54,55,21,30.6,12.6,8.8,20,Dune,female
55.5,57,20.1,31.9,12.8,9.8,20,Dune,female
57,58,23,33.3,14,11,20.1,Marsh,female
58,59.5,21.5,32.6,13.3,10.4,20.5,Transition,male
58,59.5,21.7,30.9,12.9,9.8,20.5,Dune,male
58,59.5,21.6,31.3,11.8,9,20.5,Dune,male
58,59,20.7,31.5,11.8,10,20.5,Dune,male
58,60,20.2,31.5,12.9,9.3,20.5,Dune,male
58,59,20.6,31.6,12.2,8.7,20.5,Dune,male
58,59,21.5,31.8,12.7,8.9,20.5,Dune,male
58,58.5,21.8,32,12.7,9.6,20.5,Dune,male
58,59.5,21.6,32.1,12.6,9.3,20.5,Dune,male
60,61,22.7,33.3,14.2,11.4,20.1,Dune,female
58,58.5,21.8,32.2,13.5,10.1,20.5,Dune,male
58,59,22,32.4,13.2,9.7,20.5,Dune,male
58,59,21.7,32.7,13.5,9.9,20.6,Transition,male
58,59,22.5,32.2,13.6,10,20.6,Dune,male
58,59,21.1,32.4,13.2,9.9,20.6,Dune,male
58,59,22,32.8,13.3,9.8,20.6,Dune,male
58,59,22.5,31.6,13.4,9.3,20.7,Dune,male
58,59,20.8,32.1,12.3,9.6,20.7,Dune,male
58,59,21.7,32.7,13.6,9.3,20.8,Transition,male
58,59,22,31.2,13.2,10.3,20.8,Dune,male
57.5,59,20.8,31.5,13,9.7,20.1,Dune,female
55,56,21.6,31.6,13.1,9.6,20.1,Dune,female
61,62,22.2,34.3,13.9,11.1,20.2,Marsh,female
58,59,21.1,31.4,13.1,8.9,20.8,Dune,male
58,59,22.5,32.4,13.3,9.5,20.8,Dune,male
58,58.5,21.9,32.7,13.2,10.2,20.8,Dune,male
58,59,21.6,32.8,13.4,9.8,20.8,Dune,male
58,59.5,21.6,32.5,13.5,9.6,21,Transition,male
58,59,21,30.1,13.6,9.5,21,Dune,male
58,59,21.2,31.7,12.2,9.4,21,Dune,male
58,59,20.9,32.2,12.9,9,21.3,Marsh,male
58,59,21.8,32.4,13.3,9.4,21.3,Dune,male
58,59,22.2,32.7,13.6,9.5,21.4,Transition,male
58,59,21.9,32.6,13.3,9.5,21.5,Dune,male
54,55,20.4,30.3,12.9,9.1,20.2,Transition,female
57,58,19.9,31.2,11.7,9.1,20.2,Transition,female
55,56,21.8,32,13,8.9,20.2,Transition,female
57,58,21.9,33.1,13.7,10.1,20.2,Transition,female
56.5,57.5,22.8,33.5,14.9,11,20.2,Transition,female
59,60,22.9,34.1,14.4,11.3,20.2,Transition,female
58,59.5,22.7,34.6,14.6,11.2,20.2,Transition,female
58,59,21.6,32.7,13.3,9.4,21.5,Dune,male
58,59,21.7,32.7,13.6,9.6,21.6,Transition,male
58,59,21.7,32.6,13.4,9.7,21.6,Dune,male
58,58.5,21.9,32.1,13.1,9.1,21.8,Dune,male
58,59,22.6,31.6,12.6,9,22.1,Transition,male
58,59.5,21.1,32,13.2,9.5,22.2,Dune,male
58,59,21,32.3,12.9,10,22.2,Dune,male
58,59,21.4,32.4,12.5,9.5,22.5,Dune,male
58,59,21.7,32.2,13.2,9.8,22.6,Dune,male
58,59,21.6,31.6,12.8,9.6,25.5,Dune,male
58.5,60,20.8,31.7,12.8,9.2,18.6,Transition,male
58.5,60,20.8,31,12.9,9.9,19,Transition,male
58.5,59.5,20.9,32.6,13.5,10,19,Transition,male
58.5,59.5,20.7,31.3,11.8,9.4,19,Dune,male
58.5,60,20.8,31.3,12.7,9,19,Dune,male
58.5,60,21.8,32.3,12.8,9.9,19.1,Marsh,male
58.5,59.5,21.5,31.9,13.3,9.1,19.4,Dune,male
58.5,59.5,21.7,32.1,12.5,9.7,19.5,Transition,male
58.5,59.5,21.6,31.9,12.3,9.4,19.7,Transition,male
58.5,59.5,21.9,32.4,12.6,9.7,19.7,Dune,male
58.5,59,20.6,32.5,13.3,9.4,19.8,Transition,male
58.5,60,22.1,31.7,12.8,9.7,19.9,Marsh,male
58.5,60,22.1,32.1,13.3,9.7,19.9,Transition,male
58.5,59.5,21.7,31.6,12.3,9.3,19.9,Dune,male
54,55,20.4,30.8,13.8,9.5,20.2,Dune,female
55.5,56.5,19.9,31.5,13.2,9.3,20.2,Dune,female
60,61,22.9,33.4,14.3,10.3,20.3,Marsh,female
58.5,59.5,20.8,32.1,12.7,9.4,19.9,Dune,male
58.5,59,21.6,32.5,13.2,9.1,20,Marsh,male
58.5,60,21.5,31.2,12.6,9.1,20,Transition,male
58.5,59.5,20.8,32.3,12.2,9.4,20,Dune,male
58.5,59,21.1,32.6,13.8,9.5,20.2,Marsh,male
58.5,60,21.9,32,13,9.5,20.2,Transition,male
58.5,59.5,21.5,32.2,12.5,9.4,20.3,Transition,male
58.5,61,21,32,12.5,9.4,20.4,Dune,male
58.5,59.5,22,32.4,12.6,9.7,20.5,Transition,male
58.5,59,20.5,32.5,13.4,9.7,20.5,Transition,male
58.5,60,21.2,31.5,13.1,9.5,20.5,Dune,male
58.5,60,21.4,31.8,13.1,9.1,20.6,Dune,male
58.5,59.5,21.2,32,12.6,10.3,20.8,Transition,male
58.5,59.5,22.3,32.4,13.5,9.2,20.8,Transition,male
58.5,60,20.6,30.7,13.8,8.9,20.8,Dune,male
58.5,59.5,20.5,32.1,12.6,9.2,20.8,Dune,male
55,56,21,31.7,13.6,9.3,20.3,Dune,female
60.5,61.5,22.1,31.9,12.7,8.8,20.4,Transition,female
58.5,59.5,22,32.9,13.4,9.8,20.8,Dune,male
58.5,59,21.8,32,12.5,8.8,21,Transition,male
58.5,60,21.6,31.5,14.5,9,21,Dune,male
58.5,60,21.5,31.8,12.9,9.4,21,Dune,male
58.5,59.5,21.2,31.7,13.2,9.4,21.2,Transition,male
58.5,59.5,21.9,32.5,13.4,9.7,21.2,Transition,male
58.5,59.5,21.7,32.2,12.7,9.3,21.3,Transition,male
58.5,60,22.3,31.7,13.2,9.2,21.3,Dune,male
58.5,60,21.7,32.1,12.9,9.7,21.5,Transition,male
58.5,59.5,21.7,32.8,13.6,10.4,21.8,Dune,male
58.5,59.5,21.7,32.3,13,9.2,22.1,Dune,male
58.5,59.5,22.7,32.8,12.8,9.4,22.1,Dune,male
59,60.5,19.9,30.4,12.3,8.4,17.9,Dune,male
59,60,21.9,31.5,12.8,9.1,18.5,Dune,male
59,60,20.1,30.9,12.3,9.5,18.8,Dune,male
59,60,21.7,31.9,13.2,9.4,18.8,Dune,male
59,60,21.5,30.6,12.9,9,19,Dune,male
59,60,21.1,30.8,12.1,9.2,19.2,Dune,male
59,60,22.1,31.2,13.5,9,19.2,Dune,male
59,60,21.8,31.4,13,9.7,19.2,Dune,male
56,56.5,20.9,31.5,13.2,9.3,20.4,Dune,female
56,57,21.7,31.8,12.1,9.7,20.4,Dune,female
59,60,21.1,31.7,12.5,9.3,19.3,Transition,male
59,59.5,21.8,31.8,12.8,9.2,19.4,Transition,male
59,60,21.7,31.6,12.9,9.2,19.4,Dune,male
59,60,21,31.9,13.4,9.7,19.4,Dune,male
59,60,20.1,31.6,13.8,10.3,19.5,Marsh,male
59,60,21.4,29.8,13.5,9.2,19.5,Dune,male
59,60,21,30.1,12.2,9.5,19.5,Dune,male
59,60,21.6,31.7,13.2,9.4,19.5,Dune,male
59,61.5,20.4,32.5,13.8,9.2,19.5,Dune,male
59,60,21.6,31.9,12.8,9.7,19.6,Transition,male
59,60.5,21.5,32,12.7,10,19.6,Transition,male
59,60,20.8,30.9,13,9.1,19.6,Dune,male
59,61,21.7,32.1,12.6,9.4,19.6,Dune,male
59,60,20.4,30.8,12.5,8.8,19.7,Dune,male
59,59.5,21,31.1,13.5,9,19.7,Dune,male
59,60,20.3,32.3,11.4,8.9,19.7,Dune,male
59,60,21.2,32.8,11.8,9.4,19.7,Dune,male
59,60,20.3,31.1,12.2,9.4,19.8,Transition,male
54,55,20.8,31,13.1,10.2,20.5,Transition,female
53,54,21.3,31.2,12.1,9.1,20.5,Transition,female
57,58,23.4,32.1,14.4,11.3,20.5,Transition,female
61,62,21.7,33.3,14.8,11.8,20.5,Transition,female
57,58,21.1,31.5,12.7,9.4,20.5,Dune,female
59,60,20.9,30.1,12.2,9.4,19.8,Dune,male
59,59.5,21.4,30.2,13.4,9.9,19.8,Dune,male
59,60,22.2,31.5,13.2,9.5,19.8,Dune,male
59,60,20.5,32.6,12.9,9.2,19.9,Transition,male
59,61,20.6,32.7,13.4,9.7,19.9,Transition,male
59,60,31.8,21.9,12.2,8.9,19.9,Dune,male
59,60,21.7,31.2,12.6,9.6,19.9,Dune,male
59,60.5,21.7,31.3,12.7,8.9,19.9,Dune,male
59,60,20.8,31.4,12.2,9,19.9,Dune,male
59,60,21.9,31.7,12.5,9.1,19.9,Dune,male
59,60,20.5,31.9,13.1,9.4,19.9,Dune,male
59,60,21.5,32.1,12.9,9.5,19.9,Dune,male
59,60.5,20.7,32.5,13.3,9.9,20,Marsh,male
59,60,21.2,31.8,12.7,9.1,20,Transition,male
59,60,21,32.4,13.3,9.2,20,Transition,male
59,60,21,31.5,13.6,9.3,20,Dune,male
59,61,21.9,31.8,13.6,9.5,20,Dune,male
59,60,20.1,32,13.6,9.2,20,Dune,male
59,60,22.1,31.8,12.8,9.1,20.1,Transition,male
59,60,21.5,31.9,13,9.8,20.1,Transition,male
59,60.5,21,30.9,13.5,9.9,20.1,Dune,male
59,60,20.6,32.2,13.1,9,20.1,Dune,male
59,60,21.6,32.4,13,9.8,20.1,Dune,male
59,60,21.6,31.6,13.7,9.5,20.2,Transition,male
59,60,21.2,31.8,12.7,9.8,20.2,Transition,male
59,60,22.5,32.4,14,9.6,20.2,Transition,male
59,60,20.7,31.2,11.6,9.2,20.2,Dune,male
59,60,21.3,31.8,14.8,9.6,20.2,Dune,male
59,60,21.4,32.9,13.3,9.4,20.2,Dune,male
59,60,21.4,31.9,13.3,9.4,20.3,Transition,male
59,60,21.8,31,12.3,9.1,20.3,Dune,male
59,60,21.2,32.2,13.1,9.7,20.3,Dune,male
59,60,21.8,32,13.1,9.7,20.4,Transition,male
54.5,55.5,20.1,31,11.7,9.5,20.5,Dune,female
59,60,21.5,31.8,13.4,10,20.5,Dune,female
59,60,22.6,31.4,13.2,8.6,20.6,Marsh,female
59.5,60,23.2,32.5,12.2,8.7,20.6,Marsh,female
60,61,22,32.9,13.8,9.9,20.6,Marsh,female
59,60,21.3,33.4,13.5,10,20.6,Marsh,female
59,60,21.8,32.1,12.7,10.2,20.4,Transition,male
59,60,22.2,32.9,12.9,10,20.4,Transition,male
59,59.5,20.7,31.6,12.8,9.2,20.4,Dune,male
59,61,21.6,31.7,13.1,9.6,20.4,Dune,male
59,60,22,32.2,12.6,9.8,20.4,Dune,male
59,60,22.1,32.4,13.1,9.4,20.4,Dune,male
59,60,22.1,32.3,13.3,10,20.5,Marsh,male
59,60,22.2,31.4,12.5,9.8,20.5,Transition,male
59,60,22,31.8,13.2,9.3,20.5,Transition,male
59,59,21.7,31.8,13.7,9.4,20.5,Transition,male
59,60,21.5,32.5,13.4,9.6,20.5,Transition,male
59,60,21.8,32.8,13.3,10.9,20.5,Transition,male
59,59.5,21.1,31.5,13.5,9.1,20.5,Dune,male
59,61,21.4,31.8,13.3,9.9,20.5,Dune,male
59,60,20.9,31.9,11.2,8.8,20.5,Dune,male
59,60,22,32.2,12.1,9.5,20.5,Dune,male
59,60,21.1,32.2,13.3,9.6,20.5,Dune,male
59,60.5,21,32.4,12.9,9.5,20.5,Dune,male
59,60,21.6,32.8,13.2,9.6,20.5,Dune,male
59,60,21.5,31.8,12.7,10.6,20.6,Transition,male
59,60,21.2,31.9,12.9,9.9,20.6,Transition,male
59,60,21.2,32.2,12.8,9.4,20.6,Transition,male
59,60,21.1,31.3,13.3,9.8,20.6,Dune,male
55.5,56.5,20.6,31.4,12.5,9,20.6,Dune,female
59,60,20.9,31.9,12,9.4,20.6,Dune,male
59,60,21.5,32.2,13.1,9.7,20.6,Dune,male
61,62,22.8,33.8,14.2,10.7,20.7,Transition,female
59,61,21.4,32,12.8,9.4,20.7,Marsh,male
59,60,20.6,32.1,13.4,9.5,20.7,Transition,male
59,60.5,21.5,32,12.6,9.4,20.7,Dune,male
59,60,21.3,32.2,13.1,9.7,20.7,Dune,male
59,60.5,20.6,32.3,12.2,9.5,20.8,Marsh,male
54,55,20.3,31,12.6,9.3,20.7,Transition,female
55,56,21.2,31.3,13.1,9.6,20.7,Transition,female
59,60.5,21.3,31.7,13.1,9.4,20.8,Transition,male
59,60,21.9,31.8,12.7,9,20.8,Transition,male
59,60,21.5,32.2,13.1,10,20.8,Transition,male
59,60,21.6,32.2,13.2,9.2,20.8,Transition,male
59,60,22.1,31.2,13.7,9.4,20.8,Dune,male
59,60,20.7,32.9,13.5,10.7,20.9,Marsh,male
59,60,21.3,31.6,13,9,20.9,Dune,male
59,60,20.5,31.3,12.5,9.4,21,Transition,male
59,59.5,22.8,32.5,14.1,9.9,21,Transition,male
59,61,21,33.3,13.8,10,21,Transition,male
59,60,21.1,30.9,13,8.7,21,Dune,male
59,60,20.9,31.6,10.8,9.1,21,Dune,male
56,57.5,21.2,33,13.5,9.5,20.7,Dune,female
60,62,21.7,32.5,13.2,12.7,20.8,Marsh,female
59,60,21.9,32.4,13.2,9.5,21,Dune,male
59,60,21.3,32.5,13.2,9.9,21,Dune,male
55,56,21.3,32.4,13.4,9.3,20.8,Marsh,female
59,60,21.4,31.9,13.7,9.4,21.1,Transition,male
59,60,21.7,32.2,13.2,10.1,21.1,Transition,male
59,61,21.6,31.7,13,9.4,21.1,Dune,male
59,60,21.8,32.2,12.5,9.1,21.2,Transition,male
59,60,21.5,31.5,12.8,9.5,21.2,Dune,male
59,60,22,31.9,12.5,9,21.2,Dune,male
59,61,21.9,31.9,12.8,9.8,21.2,Dune,male
59,59.5,22.6,31.9,13.3,9.6,21.2,Dune,male
55,55.5,19.6,30.8,12.3,8.5,20.8,Transition,female
59,60,21.3,32,12,8.9,21.2,Dune,male
59,60,21.8,32.8,11.8,9.7,21.2,Dune,male
59,60.5,20.8,32.5,13,9.4,21.3,Transition,male
59,60,20.1,32.4,11.4,9.1,21.3,Dune,male
59,59.5,21.8,32.7,12.9,10.1,21.4,Transition,male
59,60,21.6,32.7,13.4,9.4,21.4,Transition,male
59,60,21.7,32.9,11.8,9.6,21.4,Dune,male
59,60,22.2,32.4,12.7,9.1,21.5,Transition,male
59,60,21.8,31.9,13,9.1,21.7,Dune,male
59,61,21.2,32.2,13,9.2,21.7,Dune,male
59,60,21.9,32.2,13.8,9.2,21.8,Dune,male
59,60,22,32.2,12.2,9.1,21.9,Dune,male
59,60,21.5,32.2,12.8,9,21.9,Dune,male
55,56,21.2,31.8,12.5,9.9,20.8,Dune,female
59,59.5,22.9,32.5,13.4,9.6,22,Marsh,male
59,60,21.2,31.9,13.1,9.2,22,Transition,male
59,60,23.8,34.5,14.9,12.1,22,Transition,male
59,60.5,20.5,31.9,13.5,9.5,22,Dune,male
59,60,23.1,33.9,14.8,11.1,20.9,Transition,female
59.5,61,21.8,32.2,12.7,9.3,20.9,Dune,female
59,60,21.4,32,11.6,9.5,22,Dune,male
59,60,22.7,31.4,12.8,10.1,22.2,Dune,male
59,60.5,23.5,34.5,15.3,12,22.3,Dune,male
59,61,21,31.4,13.8,9.5,24.5,Dune,male
59.5,61,20.5,31.5,13.3,9,18.5,Dune,male
59.5,60.5,20.8,32,12,9.5,19,Dune,male
59.5,60,20.6,31.8,13.7,9.2,19.4,Transition,male
58.5,59,22.8,33.2,13.8,11.1,21,Marsh,female
56.5,57.5,21.7,32.2,11.7,9.5,21,Transition,female
59.5,60.5,21.3,32.2,12.6,9.2,19.6,Transition,male
59.5,60,20.6,29.8,12.9,9.2,19.9,Dune,male
59.5,61,21.3,31.7,12.7,10,20,Transition,male
59.5,60,22.3,31.8,13.7,10,20,Transition,male
59.5,61,21.9,32.3,12.9,9.3,20,Transition,male
59.5,60.5,20.8,30.3,12.6,10,20,Dune,male
59.5,60,20.9,32.7,13.4,10.1,20,Dune,male
59.5,61,22.6,32.2,12.7,9.5,20.1,Transition,male
58.5,59.5,23.1,33,13.7,10.3,21,Transition,female
58,59,22.4,33.9,14.6,11.1,21,Transition,female
59.5,61,21.5,32.1,13.8,9.9,20.1,Dune,male
59.5,60.5,21.7,32.2,12.8,10.2,20.2,Dune,male
59.5,60,21.5,32.4,12.4,9.5,20.2,Dune,male
59.5,60,21.6,32.6,13.1,9.8,20.3,Transition,male
59.5,60.5,21.6,31.2,13,9.3,20.3,Dune,male
59.5,60,20.5,31.6,12.5,8.8,20.3,Dune,male
59.5,61,20.9,32.3,12.8,9.6,20.3,Dune,male
59.5,60,21.2,29.7,12.5,9.6,20.4,Dune,male
59.5,60,20.6,31.6,12.9,8.6,20.4,Dune,male
59.5,60,21.5,32.1,13.1,9.3,20.5,Dune,male
59.5,61,21.3,33.3,14.1,9.5,20.5,Dune,male
59.5,60,20.5,32,13,9,20.6,Transition,male
59.5,61,21.9,31.9,12.6,9,20.7,Dune,male
59.5,61,22.5,32.3,13,10.1,20.9,Transition,male
